dhcp.bad_bitfield,Bogus bitfield
dhcp.option.rfc3825.longitude_res,Longitude resolution
dhcp.option.rfc3825.map_datum,Map Datum
dhcp.option.root_path,Root Path
dhcp.option.router,Router
dhcp.option.router_solicitation_address,Router Solicitation Address
dhcp.option.sip_server.address,SIP Server Address
dhcp.option.sip_server.encoding,SIP Server Encoding
dhcp.option.sip_server.name,SIP Server Name
dhcp.option.sip_server.refer_last_option,"For the data, please refer to last option 120"
dhcp.option.sip_server.rfc_3396_detected,Encoding Long Options detected (RFC 3396)
dhcp.option.sip_server_address.encoding,RFC 3361 defines only 0 and 1 for Encoding byte
dhcp.option.slp_directory_agent.slpda_address,IP Address
dhcp.option.slp_directory_agent.value,Value
dhcp.option.slp_service_scope.string,SLP Service Scope
dhcp.option.slp_service_scope.value,Value
dhcp.option.smtp_server,SMTP Server
dhcp.option.static_route.ip,Destination IP Address
dhcp.option.static_route.router,Destination Router
dhcp.option.streettalk_da_server,StreetTalk Directory Assistance Server
dhcp.option.streettalk_server,StreetTalk Server
dhcp.option.subnet_mask,Subnet Mask
dhcp.option.subnet_selection_option,Subnet Selection Option
dhcp.option.suboption_length,Length
dhcp.option.swap_server,Swap Server
dhcp.option.tcp_default_ttl,TCP Default TTL
dhcp.option.tcp_keepalive_garbage,TCP Keepalive Garbage
dhcp.option.tcp_keepalive_interval,TCP Keepalive Interval
dhcp.option.tftp_server_address,TFTP Server Address
dhcp.option.tftp_server_name,TFTP Server Name
dhcp.option.time_offset,Time Offset
dhcp.option.time_server,Time Server
dhcp.option.trailer_encapsulation,Trailer Encapsulation
dhcp.option.type,Option
dhcp.option.tz_pcode,TZ PCode
dhcp.option.tz_tcode,TZ TCode
dhcp.option.user_class,Instance of User Class
dhcp.option.user_class.data,User Class Data
dhcp.option.user_class.length,User Class Length
dhcp.option.user_class.text,User Class Data (Text)
dhcp.option.user_class_binary_data,User Class Binary Data
dhcp.option.user_class_binary_data_length,User Class Binary Data Length
dhcp.option.user_class_description,User Class Description
dhcp.option.user_class_description_length,User Class Description Length
dhcp.option.user_class_name,User Class Name
dhcp.option.user_class_name_length,User Class Name Length
dhcp.option.user_class_padding,User Class padding
dhcp.option.value,Value
dhcp.option.value.address,Value
dhcp.option.value.bool,Value
dhcp.option.value.int,Value
dhcp.option.value.secs,Value
dhcp.option.value.string,Value
dhcp.option.value.uint,Value
dhcp.option.value.usecs,Value
dhcp.option.vendor.aerohive.unknown,Unknown
dhcp.option.vendor.aerohive.xiqhostname,HM FQDN
dhcp.option.vendor.aerohive.xiqipaddress,HM IP
dhcp.option.vendor.alu.app_type,Application Type
dhcp.option.vendor.alu.end,Alcatel End
dhcp.option.vendor.alu.padding,Padding
dhcp.option.vendor.alu.sip_url,SIP URL
dhcp.option.vendor.alu.suboption,Option 43 Suboption
dhcp.option.vendor.alu.tftp1,Spatial Redundancy TFTP1
dhcp.option.vendor.alu.tftp2,Spatial Redundancy TFTP2
dhcp.option.vendor.alu.vid,Voice VLAN ID
